run_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	experiment_accession	scientific_name	library_strategy	library_layout	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_bytes	fastq_md5	fastq_ftp	already_available_locally	existing_gvcf	selection_status	selection_reason
SRR29909237	SAMN42721035	SRS22067145	PRJNA1138464	SRP521244	SRX25404607	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	32346250	9703875000	2637356484;2712806429	4b1d1b7b2f6e2eb1b08c702dd0469311;848ddc26c9c452d863169d2df8d510b7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/037/SRR29909237/SRR29909237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/037/SRR29909237/SRR29909237_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909238	SAMN42721034	SRS22067143	PRJNA1138464	SRP521244	SRX25404606	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	26964561	8089368300	2170109004;2277150300	a567164b055e45de1e92db96a830279c;f98d7f13c0cfb738c12087ae957ebf25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/038/SRR29909238/SRR29909238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/038/SRR29909238/SRR29909238_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909239	SAMN42721033	SRS22067142	PRJNA1138464	SRP521244	SRX25404605	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	25050337	7515101100	2065927070;2155734079	8da0eaac29916ac0b607a8743dac7721;bac8b80030cd10527400344489174e94	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/039/SRR29909239/SRR29909239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/039/SRR29909239/SRR29909239_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909240	SAMN42721032	SRS22067141	PRJNA1138464	SRP521244	SRX25404604	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2598961	215713763	101507506	1a62299ce12d8f2f2db2f3ef93dccb35	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/040/SRR29909240/SRR29909240.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909241	SAMN42721031	SRS22067140	PRJNA1138464	SRP521244	SRX25404603	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	28434800	8530440000	2324815401;2396753362	0d0431626a1e74e8d5cda4c5ce2c243b;9f511169a1f0f74c662211835279851e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/041/SRR29909241/SRR29909241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/041/SRR29909241/SRR29909241_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909242	SAMN42721030	SRS22067138	PRJNA1138464	SRP521244	SRX25404602	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2715405	225378615	104254979	67c1026030cc1c98642446a4c450de15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/042/SRR29909242/SRR29909242.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909243	SAMN42721029	SRS22067137	PRJNA1138464	SRP521244	SRX25404601	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	31433342	9430002600	2565038478;2630233854	af5ad97adc41d854d651f834f068b0dc;c9bfb421d853ba13f4c1a04ada715915	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/043/SRR29909243/SRR29909243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/043/SRR29909243/SRR29909243_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909244	SAMN42721028	SRS22067139	PRJNA1138464	SRP521244	SRX25404600	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29959384	8987815200	2468382470;2589900777	25861881b36bd87d05d7a4a5e6a2d0dd;81ecae148f2999e600776e377218183f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/044/SRR29909244/SRR29909244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/044/SRR29909244/SRR29909244_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909245	SAMN42720911	SRS22067135	PRJNA1138464	SRP521244	SRX25404599	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	23507025	7052107500	1878451542;2144783063	f62f8f7d65eb857f84c1dce07bf7368d;1240f62ac202579c9a765c2ccda371e1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/045/SRR29909245/SRR29909245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/045/SRR29909245/SRR29909245_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909246	SAMN42721027	SRS22067136	PRJNA1138464	SRP521244	SRX25404598	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2660336	220807888	102388287	55463501d65d28cb5732332a608631d3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/046/SRR29909246/SRR29909246.fastq.gz	false	false	EXCLUDED	not WGS paired-end
